"cvegeo","fecha","J029","J189","J209","J441","J459","nomgeo","POB","IM","GM","num_establecimientos","densidad_industrial","clasif_industrial","cases","PM10","PM25","NO2","TMP","RH","E","SIR","tasa","idarea","idarea1","idtime","RR","Predicted_Mean","Predicted_Mode","Lower_CI","Median","Upper_CI","Exc_Prob","NO2_std","TMP_std","PM10_std","PM25_std","RH_std","IM_std","superficie_km2","dens_industrial_km2","dens_industrial_km2_std","dens_industrial_pob","dens_industrial_pob_std","RR_corrected"
"09011",2021,2,26,0,0,3,"Tlahuac",396517,59.3251048,"Muy bajo",62,1.563615179,"Media",31,39.80051041,20.35285568,17.17371941,16.1280098,52.71789932,135.684035576446,0.228471978065056,7.81807589586323,10,10,4,61.7497669332044,62.3717821485433,60.4808977685886,46.8191905604055,61.7250979286908,81.6286216416214,0,-0.565932238962457,-0.244926066701048,-0.323771915040697,-0.410257561877691,-0.523855228906508,0.768576244864585,85.3832829859956,0.726137457260447,-0.379002777015969,15.6361517917265,-0.119549216098759,0.455099722460819
"09011",2022,3,68,1,0,17,"Tlahuac",395402,59.3251048,"Muy bajo",62,1.568024441,"Media",89,40.76220322,21.13183403,17.52345467,16.33115959,52.73590851,135.684035576446,0.655935678960966,22.5087379426508,10,10,5,99.0520796625466,100.028040351656,97.1888061270991,75.2221247653461,99.0574738112369,130.390395063971,0.00377725293226239,-0.488818801772881,-0.118048943631929,-0.141447879037028,-0.070339013787021,-0.518594835316143,0.768576244864585,85.3832829859956,0.726137457260447,-0.379002777015969,15.6802444094871,-0.117499081405561,0.730020147482564
"09012",2018,1,215,1,0,11,"Tlalpan",706379,51.5282669,"Muy bajo",50,0.707835312,"Media",228,35.62940979,21.19263268,17.20303726,11.44673443,62.86291885,47.8128521381006,4.76859233039382,32.2772902365444,11,11,1,148.11737182982,149.449506433688,145.688202168794,113.771177727456,148.164746682843,192.480868139897,0.578493165510569,-0.55946792025319,-3.16861479529846,-1.11455655199333,-0.043808637385838,2.43945382106953,-1.00619365700778,312.852673016062,0.159819634967392,-0.96802187045934,7.07835312204921,-0.517453464954443,3.09785685660426
"09012",2019,1,164,0,3,14,"Tlalpan",710047,51.5282669,"Muy bajo",39,0.549259415,"Media",182,38.04816437,20.67230797,15.08621788,13.57731628,52.64578247,47.8128521381006,3.80650791285822,25.6321060436844,11,11,2,196.276843006618,198.154636529885,192.831056965328,149.540049420712,196.335645487796,257.180137053321,0.986571666384325,-1.02620729992371,-1.83796072181266,-0.655993180673165,-0.270859902621771,-0.544920197153125,-1.00619365700778,312.852673016062,0.124659315274566,-1.00459161772032,5.49259415221809,-0.591185070021592,4.10510635173365
"09012",2020,1,125,1,0,8,"Tlalpan",709261,59.56830052,"Muy bajo",49,0.690859923,"Media",135,35.62940979,18.24183083,13.05761909,12.48822689,51.85219955,47.8128521381006,2.82350861668055,19.0338958437021,11,11,3,113.867421938145,114.990916762648,111.808496086265,86.3857675744148,113.903933007771,149.816160953758,0.0449768283724981,-1.47349484358035,-2.51815108070155,-1.11455655199333,-1.33143400021558,-0.776721766562465,0.823934128362482,312.852673016062,0.156623242268044,-0.971346392937612,6.90859923215854,-0.525346358519071,2.3815233111226
"09012",2021,1,55,1,0,6,"Tlalpan",707748,59.56830052,"Muy bajo",49,0.69233682,"Media",63,34.91887283,16.18628311,14.7219944,12.85132694,68.99893188,47.8128521381006,1.31763735445092,8.9014734057885,11,11,4,95.7521032403456,96.9438627658525,93.3883369587172,70.3701259327841,95.725260971781,130.500224577786,0.00487086732723174,-1.1065152575713,-2.29137708437966,-1.24926481322799,-2.22840218490709,4.2317522872086,0.823934128362482,312.852673016062,0.156623242268044,-0.971346392937612,6.92336820450217,-0.52465965892802,2.00264361899557
"09012",2022,1,97,0,0,17,"Tlalpan",708087,59.56830052,"Muy bajo",49,0.692005361,"Media",115,36.03654099,18.49944687,16.08332443,12.37126923,59.79335403,47.8128521381006,2.40521104383899,16.2409421441151,11,11,5,136.845097961689,138.147269690482,134.406818563297,104.375251821921,136.869534920112,179.231963028589,0.349349788303915,-0.806354393714769,-2.59119694218975,-1.0373699464628,-1.21901948923248,1.54284941496702,0.823934128362482,312.852673016062,0.156623242268044,-0.971346392937612,6.92005360923163,-0.524813774675807,2.86209861663203
"09013",2018,7,132,3,1,2,"Xochimilco",441943,50.67353702,"Muy bajo",43,0.972976153,"Media",145,41.48611069,22.52353859,20.1189518,15.68577766,59.01647186,48.590278850236,2.98413599244647,32.809660974379,12,12,1,126.484482309982,127.872685686583,123.848808884102,94.5988216551389,126.498301721802,169.011608469885,0.18512119186569,0.0834646588938598,-0.521121979342161,-0.00420474874513878,0.536951539803288,1.31592605042165,-1.20075315467991,113.504301513646,0.378840267959629,-0.740221632479681,9.7297615303331,-0.394173318759132,2.60308204239432
"09013",2019,4,112,1,0,4,"Xochimilco",446716,50.67353702,"Muy bajo",40,0.895423491,"Media",121,42.80047607,21.9768734,13.75214767,15.99306393,52.54556656,48.590278850236,2.49021003507602,27.0865605888305,12,12,2,117.809385879662,119.00856217025,115.569041993336,89.0266551856483,117.833696983804,155.714121498576,0.0763396088269771,-1.32035762192819,-0.329206457813732,0.244981268217072,0.298406222495674,-0.574192759140455,-1.20075315467991,113.504301513646,0.352409551590352,-0.767711843774557,8.95423490539851,-0.430232281007869,2.42454640449319
"09013",2020,2,73,0,0,2,"Xochimilco",448820,58.55717196,"Muy bajo",43,0.958067822,"Media",77,41.48611069,19.02662849,12.88420963,15.55983543,51.83454895,48.590278850236,1.5846791132302,17.1560982130921,12,12,3,79.6978049098869,80.4837090071193,78.2313539248258,60.4893335805832,79.7146781913418,104.878495124664,5.60003589833435e-06,-1.51173004898054,-0.599779150562025,-0.00420474874513878,-0.988976111453773,-0.781877417821968,0.593774086788249,113.504301513646,0.378840267959629,-0.740221632479681,9.58067822289559,-0.40110511088846,1.64020060793497
"09013",2021,3,39,0,0,4,"Xochimilco",446158,58.55717196,"Muy bajo",44,0.986197715,"Media",46,37.83996582,18.76332283,14.4614706,15.14476204,56.85201263,48.590278850236,0.946691418293364,10.3102488356143,12,12,4,55.6974666283877,56.259586120668,54.5582068529872,42.213181026947,55.6781721905708,73.6358132668526,0,-1.16395838094322,-0.85901307635514,-0.695464828512678,-1.10387337098769,0.683698423299166,0.593774086788249,113.504301513646,0.387650506749388,-0.731058228714722,9.86197714710932,-0.388025808434223,1.1462676886473
"09013",2022,5,74,2,1,15,"Xochimilco",444667,58.55717196,"Muy bajo",44,0.989504506,"Media",97,38.77169418,19.4029026,15.83088684,15.04784775,55.06583786,48.590278850236,1.99628407770557,21.814076601142,12,12,5,91.1919243124778,92.0832586164196,89.4823938729197,69.3351473087973,91.1950948892571,119.914922651437,0.000572922632363304,-0.862014581482949,-0.919540858832721,-0.518821649643245,-0.82478342348586,0.16196577950012,0.593774086788249,113.504301513646,0.387650506749388,-0.731058228714722,9.89504505618811,-0.386488279680498,1.87675243835393
"09014",2018,4,27,0,0,4,"Benito Juarez",437226,53.35675657,"Muy bajo",75,1.71536002,"Media",35,34.65388107,23.13221741,28.84829903,17.63321877,53.94813538,49.1045696946224,0.712764620842058,8.00501342555109,13,13,1,36.5654017797085,37.0474694295441,35.6323285155961,26.6148227476809,36.5649738419712,50.2396798984759,0,2.00820616001277,0.69515161554235,-1.29950369064136,0.802557407730094,-0.164509479061031,-0.589980254366623,26.5489232781125,2.82497332243344,1.80396648498776,17.1536001976095,-0.0489937857332878,0.744643563870043
"09014",2019,0,28,0,0,8,"Benito Juarez",440036,53.35675657,"Muy bajo",68,1.54532811,"Media",36,36.44296265,21.45091248,25.21177864,18.21607399,49.62518692,49.1045696946224,0.733129324294689,8.18114881509695,13,13,2,41.8326407522818,42.3990973704555,40.7276997351776,30.3273422098884,41.8287199458626,57.7341032745302,0,1.20638655885822,1.05917361861417,-0.960317860183279,0.0688955149402809,-1.42722092640883,-0.589980254366623,26.5489232781125,2.56130914567299,1.52973313358077,15.4532810951831,-0.128051989995932,0.851909323560635
"09014",2020,0,18,0,0,2,"Benito Juarez",440107,62.39714549,"Muy bajo",80,1.817739777,"Media",20,34.65388107,18.63094902,20.78721046,17.96234512,50.24882507,49.1045696946224,0.407294069052605,4.54434944229472,13,13,3,22.7698200030206,23.0684776562045,22.1950641869972,16.5839895201323,22.770858282875,31.254729146051,0,0.230809602621583,0.900707350619606,-1.29950369064136,-1.16163661087803,-1.24505936739551,1.46785528899339,26.5489232781125,3.01330487726234,1.99984745027847,18.1773977691789,-0.00139119312509397,0.463700632031284
"09014",2021,0,18,0,0,2,"Benito Juarez",439611,62.39714549,"Muy bajo",84,1.910780213,"Media",20,33.86198807,19.25254059,24.32528877,17.1211834,48.85362625,49.1045696946224,0.407294069052605,4.54947669644299,13,13,4,15.7043195681174,15.9101136908124,15.2873756626034,11.4568053679539,15.6977455624256,21.578453732372,0,1.01092362238038,0.37536012250053,-1.4496359640053,-0.890396076426979,-1.65258990763706,1.46785528899339,26.5489232781125,3.16397012112545,2.15655222251104,19.1078021250606,0.041868979338525,0.31981381093005
"09014",2022,0,22,0,2,4,"Benito Juarez",440282,62.39714549,"Muy bajo",84,1.907868139,"Media",28,35.3999176,19.86137962,24.91794014,17.77042007,51.28794861,49.1045696946224,0.570211696673647,6.35956046352111,13,13,5,26.8523973208203,27.1971259832048,26.1779648626445,19.6321124057343,26.8498133359278,36.7485667706485,0,1.14159784778108,0.780840634592498,-1.15806518788728,-0.624720298533367,-0.941536620985865,1.46785528899339,26.5489232781125,3.16397012112545,2.15655222251104,19.0786813905633,0.0405149788024632,0.546841108430709
"09015",2018,16,98,2,1,62,"Cuahutemoc",552509,52.3288807,"Muy bajo",107,1.936620037,"Alta",179,39.11569214,24.25590897,32.09497833,17.66779709,54.16264725,49.1764550412925,3.6399533038666,32.3976623005236,14,14,1,176.338661940611,178.116933644293,172.967223491978,133.470308332329,176.355441826899,232.849491417434,0.921810960794312,2.72406935400485,0.716747491975024,-0.453604258193444,1.29289658541962,-0.10185164347791,-0.823952433900698,32.3352448213411,3.30908272354816,2.30748177154085,19.3662003695867,0.0538834895370562,3.58583516832483
